Word Index,Word,Start Time (s),End Time (s),Duration (s),Start Timestamp,End Timestamp,Character Count
1,This,0.000,0.500,0.500,00:00.000,00:00.500,4
2,is,0.500,0.760,0.260,00:00.500,00:00.760,2
3,day,0.760,0.960,0.200,00:00.760,00:00.960,3
4,41,0.960,1.700,0.740,00:00.960,00:01.700,2
5,of,1.700,2.060,0.360,00:01.700,00:02.060,2
6,learning,2.060,2.320,0.260,00:02.060,00:02.320,8
7,National,2.320,2.880,0.560,00:02.320,00:02.880,8
8,Railway,2.880,3.360,0.480,00:02.880,00:03.360,7
9,System,3.360,3.740,0.380,00:03.360,00:03.740,6
10,in,3.740,4.020,0.280,00:03.740,00:04.020,2
11,Java,4.020,4.280,0.260,00:04.020,00:04.280,4
12,from,4.280,4.700,0.420,00:04.280,00:04.700,4
13,first,4.700,5.060,0.360,00:04.700,00:05.060,5
14,principles.,5.060,5.620,0.560,00:05.060,00:05.620,11
15,Last,6.080,6.580,0.500,00:06.080,00:06.580,4
16,day,6.580,6.880,0.300,00:06.580,00:06.880,3
17,we,6.880,7.060,0.180,00:06.880,00:07.060,2
18,learned,7.060,7.300,0.240,00:07.060,00:07.300,7
19,how,7.300,7.500,0.200,00:07.300,00:07.500,3
20,a,7.500,7.620,0.120,00:07.500,00:07.620,1
21,static,7.620,8.000,0.380,00:07.620,00:08.000,6
22,block,8.000,8.360,0.360,00:08.000,00:08.360,5
23,runs,8.360,8.780,0.420,00:08.360,00:08.780,4
24,once,8.780,9.280,0.500,00:08.780,00:09.280,4
25,when,9.280,9.540,0.260,00:09.280,00:09.540,4
26,the,9.540,9.640,0.100,00:09.540,00:09.640,3
27,class,9.640,9.880,0.240,00:09.640,00:09.880,5
28,"loads,",9.880,10.220,0.340,00:09.880,00:10.220,6
29,before,10.640,10.920,0.280,00:10.640,00:10.920,6
30,any,10.920,11.420,0.500,00:10.920,00:11.420,3
31,object,11.420,11.800,0.380,00:11.420,00:11.800,6
32,ever,11.800,12.280,0.480,00:11.800,00:12.280,4
33,exists.,12.280,12.740,0.460,00:12.280,00:12.740,7
34,Today,13.600,13.880,0.280,00:13.600,00:13.880,5
35,we,13.880,14.280,0.400,00:13.880,00:14.280,2
36,learn,14.280,14.480,0.200,00:14.280,00:14.480,5
37,the,14.480,14.640,0.160,00:14.480,00:14.640,3
38,difference,14.640,14.960,0.320,00:14.640,00:14.960,10
39,between,14.960,15.380,0.420,00:14.960,00:15.380,7
40,instance,15.380,15.900,0.520,00:15.380,00:15.900,8
41,variables,15.900,16.340,0.440,00:15.900,00:16.340,9
42,and,16.340,16.820,0.480,00:16.340,00:16.820,3
43,static,16.820,17.280,0.460,00:16.820,00:17.280,6
44,variables.,17.280,17.740,0.460,00:17.280,00:17.740,10
45,The,18.380,18.680,0.300,00:18.380,00:18.680,3
46,train,18.680,18.920,0.240,00:18.680,00:18.920,5
47,class,18.920,19.200,0.280,00:18.920,00:19.200,5
48,has,19.200,19.460,0.260,00:19.200,00:19.460,3
49,both.,19.460,19.780,0.320,00:19.460,00:19.780,5
50,Private,20.640,21.000,0.360,00:20.640,00:21.000,7
51,in,21.000,21.300,0.300,00:21.000,00:21.300,2
52,-current,21.300,21.720,0.420,00:21.300,00:21.720,8
53,passenger,21.720,22.140,0.420,00:21.720,00:22.140,9
54,"count,",22.140,22.520,0.380,00:22.140,00:22.520,6
55,instance,22.820,23.220,0.400,00:22.820,00:23.220,8
56,variable.,23.220,23.700,0.480,00:23.220,00:23.700,9
57,Train,24.360,24.580,0.220,00:24.360,00:24.580,5
58,number,24.580,24.860,0.280,00:24.580,00:24.860,6
59,KL,24.860,25.280,0.420,00:24.860,00:25.280,2
60,-2401,25.280,26.820,1.540,00:25.280,00:26.820,5
61,carries,26.820,27.160,0.340,00:26.820,00:27.160,7
62,its,27.160,27.380,0.220,00:27.160,00:27.380,3
63,own,27.380,27.640,0.260,00:27.380,00:27.640,3
64,count.,27.640,27.960,0.320,00:27.640,00:27.960,6
65,Train,27.960,28.680,0.720,00:27.960,00:28.680,5
66,number,28.680,28.960,0.280,00:28.680,00:28.960,6
67,MH,28.960,29.320,0.360,00:28.960,00:29.320,2
68,-1102,29.320,30.740,1.420,00:29.320,00:30.740,5
69,carries,30.740,31.140,0.400,00:30.740,00:31.140,7
70,its,31.140,31.340,0.200,00:31.140,00:31.340,3
71,own.,31.340,31.580,0.240,00:31.340,00:31.580,4
72,Completely,32.080,32.540,0.460,00:32.080,00:32.540,10
73,"separate,",32.540,33.080,0.540,00:32.540,00:33.080,9
74,per,33.500,33.600,0.100,00:33.500,00:33.600,3
75,object.,33.600,34.040,0.440,00:33.600,00:34.040,7
76,Static,34.960,35.480,0.520,00:34.960,00:35.480,6
77,in,35.480,35.760,0.280,00:35.480,00:35.760,2
78,total,35.760,36.200,0.440,00:35.760,00:36.200,5
79,passengers,36.200,36.680,0.480,00:36.200,00:36.680,10
80,in,36.680,36.980,0.300,00:36.680,00:36.980,2
81,"system,",36.980,37.340,0.360,00:36.980,00:37.340,7
82,class,37.800,38.100,0.300,00:37.800,00:38.100,5
83,variable.,38.100,38.460,0.360,00:38.100,00:38.460,9
84,One,39.080,39.400,0.320,00:39.080,00:39.400,3
85,"copy,",39.400,39.780,0.380,00:39.400,00:39.780,5
86,shared,40.200,40.440,0.240,00:40.200,00:40.440,6
87,across,40.440,40.700,0.260,00:40.440,00:40.700,6
88,every,40.700,41.260,0.560,00:40.700,00:41.260,5
89,train,41.260,41.520,0.260,00:41.260,00:41.520,5
90,object,41.520,41.920,0.400,00:41.520,00:41.920,6
91,in,41.920,42.180,0.260,00:41.920,00:42.180,2
92,the,42.180,42.280,0.100,00:42.180,00:42.280,3
93,entire,42.280,42.680,0.400,00:42.280,00:42.680,6
